Player,Team,PS,GP,Min,FGM,FGA,X3M,X3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,PM
"ross,terrence",tor,SF,65,1645,245,603,117,313,39,49,27,195,68,42,57,21,106,1,646,2,0,0,44,32
"rubio,ricky",min,PG,21,662,77,215,13,50,57,71,18,117,185,38,62,1,56,1,224,0,0,0,21,-4
"rudez,damjan",ind,SF,54,878,94,215,52,137,16,23,6,39,47,13,39,5,62,0,256,0,0,0,2,62
"rush,brandon",gsw,SG,27,216,7,39,1,20,3,5,2,34,12,3,10,12,19,0,18,0,0,0,0,-87
"sacre,robert",lal,C,55,904,100,245,0,0,47,70,70,187,43,24,24,35,101,1,247,0,0,0,18,-32
"salmons,john",nor,SF,21,270,16,48,8,26,2,4,4,21,13,9,5,4,25,0,42,0,0,0,0,-63
"sampson,jakarr",phi,PF,59,829,106,244,23,86,43,69,24,118,53,25,57,22,101,0,278,0,0,0,22,-261
"sanders,larry",mil,C,27,586,86,172,0,0,24,48,67,166,23,26,28,39,104,0,196,4,0,0,26,-90
"schroder,dennis",atl,PG,63,1195,219,506,35,100,106,131,20,127,249,46,121,3,103,0,579,3,0,0,6,18
"scola,luis",ind,PF,64,1319,242,519,5,17,108,157,102,411,93,42,80,12,148,0,597,0,0,0,15,97
"scott,mike",atl,PF,62,982,178,397,59,167,53,66,40,169,64,18,34,3,71,0,468,1,0,0,0,22
"sefolosha,thabo",atl,SG,45,854,86,202,19,65,38,51,46,194,66,47,33,20,59,0,229,0,0,0,7,161
"seraphin,kevin",was,C,63,977,189,359,0,1,47,64,76,226,48,8,80,42,158,1,425,0,0,0,0,-137
"sessions,ramon",was,PG,48,838,85,248,10,40,90,119,16,95,127,20,67,0,57,0,270,0,0,0,7,-167
"shumpert,iman",cle,SG,48,1178,145,355,49,145,34,50,41,161,114,60,74,11,111,2,373,0,0,0,24,1
"shved,alexey",nyk,PG,37,604,102,261,37,112,100,121,20,79,85,23,37,4,39,0,341,0,0,0,4,-103
"sims,henry",phi,C,62,1211,212,438,4,18,94,120,102,317,69,34,86,21,109,0,522,2,0,0,31,-305
"singler,kyle",okc,SF,65,1493,155,400,85,213,35,42,29,164,76,38,46,18,119,0,430,1,0,0,50,-67
"sloan,donald",ind,PG,44,1021,140,341,40,125,59,75,12,139,176,21,59,0,45,0,379,0,0,0,21,-59
"smart,marcus",bos,PG,51,1339,126,356,68,211,63,97,44,170,170,69,71,11,136,2,383,2,0,0,22,-30
