Player,Team,PS,GP,Min,FGM,FGA,X3M,X3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,PM
"mack,shelvin",atl,PG,39,521,69,178,28,82,15,19,6,52,96,15,36,2,21,0,181,1,0,0,0,20
"mahinmi,ian",ind,C,44,853,94,163,0,0,27,75,80,282,28,22,47,29,126,1,215,4,0,0,6,11
"marble,devyn",orl,SG,16,212,14,44,4,22,5,16,5,31,17,9,9,2,14,0,37,0,0,0,7,-15
"marion,shawn",cle,SF,50,999,104,234,12,43,25,33,53,176,46,25,28,26,56,0,245,1,0,0,23,64
"marshall,kendall",mil,PG,28,416,46,101,18,46,8,9,2,28,85,21,35,0,26,0,118,0,0,0,3,55
"martin,cartier",det,SF,20,190,13,48,6,31,0,0,0,20,9,2,5,1,18,0,32,0,0,0,0,19
"martin,kenyon",mil,PF,11,106,9,22,0,0,2,2,6,19,5,5,3,6,13,0,20,0,0,0,0,-9
"martin,kevin",min,SG,28,911,190,426,56,146,116,134,15,106,56,23,52,0,54,0,552,0,0,0,25,-97
"matthews,wesley",por,SG,60,2027,337,753,173,446,109,145,38,222,139,77,81,10,132,1,956,5,0,0,60,266
"maxiell,jason",cha,PF,45,627,59,140,0,0,39,64,58,129,8,12,17,38,71,0,157,0,0,0,0,-52
"mayo,o.j.",mil,SG,59,1434,248,593,81,229,99,118,26,153,163,44,107,16,138,2,676,6,0,0,15,-41
"mbah_a_moute,luc",phi,SF,57,1663,225,551,49,168,79,135,74,290,88,73,92,16,89,0,578,0,0,0,56,-321
"mcadoo,james",gsw,SG,5,49,11,17,0,0,8,13,6,10,1,2,1,2,8,0,30,0,0,0,0,1
"mccallum,ray",sac,PG,51,911,127,298,20,70,37,50,33,109,123,25,57,7,61,0,311,0,0,0,13,-232
"mccollum,c.j.",por,SG,44,554,71,191,33,83,29,42,7,44,37,22,24,3,42,0,204,1,0,0,0,30
"mcdaniels,k.j.",hou,SG,57,1334,168,424,43,148,99,131,64,196,70,44,104,68,124,0,478,3,0,0,15,-255
"mcdermott,doug",chi,SF,31,299,42,100,12,38,10,15,5,42,5,4,16,1,26,0,106,0,0,0,0,-74
"mcgary,mitch",okl,PF,16,249,49,92,0,1,18,28,31,81,6,8,12,8,32,1,116,0,0,0,1,63
"mcgee,javale",phi,C,23,256,42,79,0,0,22,33,18,61,3,2,18,20,30,0,106,0,0,0,0,-70
"mclemore,ben",sac,SG,65,2142,280,652,112,317,105,126,24,188,100,51,109,17,167,0,777,1,0,0,65,-18
"mcroberts,josh",mia,PF,17,297,28,53,8,19,8,13,7,45,33,12,22,3,41,0,72,0,0,0,4,32
"meeks,jodie",det,SG,44,1089,166,411,53,160,119,130,9,75,67,46,43,4,64,0,504,1,0,0,0,-70
"mekel,gal",nor,PG,4,44,3,20,0,3,0,0,0,1,13,2,2,0,1,0,6,0,0,0,0,2
"middleton,khris",mil,SF,63,1826,310,655,88,201,105,123,38,283,131,98,82,10,147,1,813,2,0,0,42,253
"miles,c.j.",ind,SG,53,1353,232,607,106,324,93,115,15,150,60,48,55,17,98,0,663,0,0,0,23,158
"miller,andre",sac,PG,64,929,106,218,3,22,41,55,32,126,215,26,74,2,75,0,256,2,0,0,0,-124
"miller,darius",nor,SF,5,44,1,7,0,1,0,0,0,1,2,1,1,0,8,0,2,0,0,0,1,-12
